data_venda;vendas_dia;faturamento_dia;unidades_dia;ano;mes;dia_semana;faturamento_lag_1;faturamento_lag_7;faturamento_lag_14;faturamento_lag_30;faturamento_lag_365;media_movel_7d;media_movel_30d;variacao_7d
2022-04-01 23:18:15.225659;141;28057.50002;336;2022;4;4;33357.3;31062.20001;27932.10003;31882.0;24072.3;29356.400005714288;27902.32333766667;2368.821027669984
2022-04-02 23:18:15.225659;120;24336.3;319;2022;4;5;28057.50002;28944.3;27558.2;25781.4;30880.8;28698.11429142857;27854.153337666663;3045.9283053507957
2022-04-03 23:18:15.225659;137;26722.3;331;2022;4;6;24336.3;26236.7;28222.0;29141.5;25142.2;28767.48572;27773.513337666667;2985.455590092109
2022-04-04 23:18:15.225659;146;28443.6;358;2022;4;0;26722.3;29325.00002;23998.4;27056.8;28318.70001;28641.571431428572;27819.740004333333;2976.596753310834
2022-04-05 23:18:15.225659;134;24809.4;331;2022;4;1;28443.6;31475.1;28675.2;27147.1;25890.5;27689.328574285715;27741.816671;2985.243091972387
2022-04-06 23:18:15.225659;136;25132.5;330;2022;4;2;24809.4;28098.9;28158.4;28867.70001;22795.4;27265.557145714287;27617.310004000003;3124.7028111705026
2022-04-07 23:18:15.225659;133;28138.2;330;2022;4;3;25132.5;33357.3;28263.10001;25266.20001;23807.50001;26519.971431428574;27713.043337;1748.499075196932
2022-04-08 23:18:15.225659;131;24898.4;323;2022;4;4;28138.2;28057.50002;31062.20001;26077.6;28051.5;26068.67142857143;27673.736670333332;1692.300800403892
2022-04-09 23:18:15.225659;135;27076.50002;339;2022;4;5;24898.4;24336.3;28944.3;29071.4;30952.0;26460.128574285714;27607.240004333333;1534.341814315444
2022-04-10 23:18:15.225659;150;28321.4;362;2022;4;6;27076.50002;26722.3;26236.7;26465.1;27453.0;26688.571431428572;27669.116671000003;1690.932844605958
2022-04-11 23:18:15.225659;154;31443.9;374;2022;4;0;28321.4;28443.6;29325.00002;32986.8;24730.1;27117.185717142856;27617.686671;2429.079948833317
2022-04-12 23:18:15.225659;147;34220.5;394;2022;4;1;31443.9;24809.4;31475.1;26624.90001;27726.1;28461.628574285714;27870.87333733333;3363.5568747701495
2022-04-13 23:18:15.225659;138;25557.4;361;2022;4;2;34220.5;25132.5;28098.9;27299.8;30593.2;28522.328574285715;27812.79333733333;3296.6332375231254
2022-04-14 23:18:15.225659;122;20197.0;284;2022;4;3;25557.4;28138.2;33357.3;23454.40001;26522.2;27387.871431428568;27704.213336999997;4570.946916154816
2022-04-15 23:18:15.225659;126;22692.2;303;2022;4;4;20197.0;24898.4;28057.50002;26349.4;28451.9;27072.700002857142;27582.306670333335;4839.384692984437
2022-04-16 23:18:15.225659;148;28471.6;375;2022;4;5;22692.2;27076.50002;24336.3;26115.2;25419.0;27272.0;27660.853337;4868.20857845403
2022-04-17 23:18:15.225659;138;27617.7;355;2022;4;6;28471.6;28321.4;26722.3;27932.10003;26302.7;27171.471428571425;27650.373336;4850.159013789928
2022-04-18 23:18:15.225659;153;31318.2;401;2022;4;0;27617.7;31443.9;28443.6;27558.2;28685.6;27153.514285714286;27775.706669333333;4831.9028254676205
2022-04-19 23:18:15.225659;140;29704.2;352;2022;4;1;31318.2;34220.5;24809.4;28222.0;32724.30001;26508.32857142857;27825.113336;3952.500638293982
2022-04-20 23:18:15.225659;138;26488.3;324;2022;4;2;29704.2;25557.4;25132.5;23998.4;23743.8;26641.31428571429;27908.110002666668;3930.774041003709
2022-04-21 23:18:15.225659;137;29254.6;358;2022;4;3;26488.3;20197.0;28138.2;28675.2;32416.3;27935.257142857146;27927.423336;2777.467856313957
2022-04-22 23:18:15.225659;157;29620.50003;373;2022;4;4;29254.6;22692.2;24898.4;28158.4;26169.90001;28925.01429;27976.160003666664;1569.449323292593
2022-04-23 23:18:15.225659;128;26398.4;349;2022;4;5;29620.50003;28471.6;27076.50002;28263.10001;28156.5;28628.84286142857;27914.00333666667;1841.340078884719
2022-04-24 23:18:15.225659;124;26130.1;315;2022;4;6;26398.4;27617.7;28321.4;31062.20001;28402.1;28416.328575714288;27749.600003;2051.3560338849347
2022-04-25 23:18:15.225659;146;31027.9;356;2022;4;0;26130.1;31318.2;31443.9;28944.3;29426.8;28374.857147142855;27819.053336333334;1984.766058921563
2022-04-26 23:18:15.225659;122;21210.20001;302;2022;4;1;31027.9;29704.2;34220.5;26236.7;26374.3;27161.428577142855;27651.503336666665;3237.6451077598026
2022-04-27 23:18:15.225659;122;23754.6;312;2022;4;2;21210.20001;26488.3;25557.4;29325.00002;29280.1;26770.900005714288;27465.823335999998;3487.5938692208792
2022-04-28 23:18:15.225659;146;29089.4;341;2022;4;3;23754.6;29254.6;20197.0;31475.1;33282.2;26747.300005714285;27386.300002666663;3468.4925597356746
2022-04-29 23:18:15.225659;125;24349.40001;318;2022;4;4;29089.4;29620.50003;22692.2;28098.9;30541.80001;25994.28571714286;27261.316669666667;3309.281800229778
2022-04-30 23:18:15.225659;138;29651.80001;335;2022;4;5;24349.40001;26398.4;28471.6;33357.3;27422.80001;26459.057147142856;27137.800003333334;3591.891128496421
2022-05-01 23:18:15.225659;170;31575.00002;406;2022;5;6;29651.80001;26130.1;27617.7;28057.50002;28388.0;27236.900007142856;27255.05000333333;4066.929090102638
2022-05-02 23:18:15.225659;128;24298.1;328;2022;5;0;31575.00002;31027.9;31318.2;24336.3;28703.0;26275.50000714286;27253.77667;3808.6372926038844
2022-05-03 23:18:15.225659;148;32651.5;383;2022;5;1;24298.1;21210.20001;29704.2;26722.3;25962.4;27909.971434285715;27451.41667;3726.7041310992327
2022-05-04 23:18:15.225659;136;29386.6;357;2022;5;2;32651.5;23754.6;26488.3;28443.6;21361.9;28714.542862857143;27482.850003333337;3258.6274197122743
2022-05-05 23:18:15.225659;139;27761.20001;346;2022;5;3;29386.6;29089.4;29254.6;24809.4;26638.5;28524.800007142858;27581.243337;3271.804910284449
2022-05-06 23:18:15.225659;130;26081.6;330;2022;5;4;27761.20001;24349.40001;29620.50003;25132.5;25420.1;28772.257148571425;27612.88000366667;2953.3839378646917
2022-05-07 23:18:15.225659;148;31534.6;365;2022;5;5;26081.6;29651.80001;26398.4;28138.2;31092.0;29041.228575714285;27726.093337000002;3127.442594464809
2022-05-08 23:18:15.225659;142;26674.0;346;2022;5;6;31534.6;31575.00002;26130.1;24898.4;22994.1;28341.085715714285;27785.280003666667;3012.1353532274043
2022-05-09 23:18:15.225659;145;30060.7;363;2022;5;0;26674.0;24298.1;31027.9;27076.50002;20820.10001;29164.314287142857;27884.75333633333;2459.849559780361
2022-05-10 23:18:15.225659;134;24890.4;356;2022;5;1;30060.7;32651.5;21210.20001;28321.4;29448.4;28055.585715714285;27770.386669666666;2373.6780518386863
2022-05-11 23:18:15.225659;152;30680.4;372;2022;5;2;24890.4;29386.6;23754.6;31443.9;28710.6;28240.414287142856;27744.936669666666;2539.1929413033217
2022-05-12 23:18:15.225659;131;24767.7;313;2022;5;3;30680.4;27761.20001;29089.4;34220.5;23976.6;27812.77142857143;27429.843336333335;2864.5812391542263
2022-05-13 23:18:15.225659;124;22682.10001;300;2022;5;4;24767.7;26081.6;24349.40001;25557.4;23176.7;27327.128572857146;27334.000003333334;3437.800795600426
