data_venda;vendas_dia;faturamento_dia;unidades_dia;ano;mes;dia_semana;faturamento_lag_1;faturamento_lag_7;faturamento_lag_14;faturamento_lag_30;faturamento_lag_365;media_movel_7d;media_movel_30d;variacao_7d;onda_sen_1;onda_cos_1;onda_sen_2;onda_cos_2;is_black_friday;is_verao;is_ferias;dia_0;dia_1;dia_2;dia_3;dia_4;dia_5;dia_6
2022-04-01 23:18:15.225659;141;28057.50002;336;2022;4;4;33357.3;31062.20001;27932.10003;31882.0;24072.3;29356.400005714288;27902.32333766667;2368.821027669984;0.0;1.0;0.0;1.0;0;0;0;0;0;0;0;1;0;0
2022-04-02 23:18:15.225659;120;24336.3;319;2022;4;5;28057.50002;28944.3;27558.2;25781.4;30880.8;28698.11429142857;27854.153337666663;3045.928305350796;0.017213356155834685;0.9998518392091162;0.03442161162274574;0.9994074007397048;0;0;0;0;0;0;0;0;1;0
2022-04-03 23:18:15.225659;137;26722.3;331;2022;4;6;24336.3;26236.7;28222.0;29141.5;25142.2;28767.48572;27773.513337666667;2985.455590092109;0.03442161162274574;0.9994074007397048;0.06880242680231986;0.9976303053065857;0;0;0;0;0;0;0;0;0;1
2022-04-04 23:18:15.225659;146;28443.6;358;2022;4;0;26722.3;29325.00002;23998.4;27056.8;28318.70001;28641.57143142857;27819.740004333333;2976.596753310834;0.051619667223253764;0.998666816288476;0.10310169744743485;0.9946708199115211;0;0;0;1;0;0;0;0;0;0
2022-04-05 23:18:15.225659;134;24809.4;331;2022;4;1;28443.6;31475.1;28675.2;27147.1;25890.5;27689.328574285715;27741.816671;2985.243091972387;0.06880242680231986;0.9976303053065857;0.13727877211326478;0.9905324521322229;0;0;0;0;1;0;0;0;0;0
2022-04-06 23:18:15.225659;136;25132.5;330;2022;4;2;24809.4;28098.9;28158.4;28867.70001;22795.4;27265.557145714287;27617.310004000003;3124.702811170502;0.08596479873744647;0.9962981749346078;0.1712931441814776;0.9852201067560606;0;0;0;0;0;1;0;0;0;0
2022-04-07 23:18:15.225659;133;28138.2;330;2022;4;3;25132.5;33357.3;28263.10001;25266.20001;23807.50001;26519.97143142857;27713.043337;1748.499075196932;0.10310169744743485;0.9946708199115211;0.2051044998686192;0.9787400799669153;0;0;0;0;0;0;1;0;0;0
2022-04-08 23:18:15.225659;131;24898.4;323;2022;4;4;28138.2;28057.50002;31062.20001;26077.6;28051.5;26068.67142857143;27673.73667033333;1692.300800403892;0.1202080448993527;0.9927487224577402;0.2386727660059501;0.9711000518829505;0;0;0;0;0;0;0;1;0;0
2022-04-09 23:18:15.225659;135;27076.50002;339;2022;4;5;24898.4;24336.3;28944.3;29071.4;30952.0;26460.128574285714;27607.240004333333;1534.341814315444;0.13727877211326478;0.9905324521322229;0.2719581575341055;0.9623090774541486;0;0;0;0;0;0;0;0;1;0
2022-04-10 23:18:15.225659;150;28321.4;362;2022;4;6;27076.50002;26722.3;26236.7;26465.1;27453.0;26688.57143142857;27669.116671000003;1690.932844605958;0.15430882066428117;0.9880226656636976;0.30492122465628907;0.9523775757303974;0;0;0;0;0;0;0;0;0;1
2022-04-11 23:18:15.225659;154;31443.9;374;2022;4;0;28321.4;28443.6;29325.00002;32986.8;24730.1;27117.185717142856;27617.686671;2429.079948833317;0.1712931441814776;0.9852201067560606;0.3375228995941133;0.9413173175128471;0;0;0;1;0;0;0;0;0;0
2022-04-12 23:18:15.225659;147;34220.5;394;2022;4;1;31443.9;24809.4;31475.1;26624.90001;27726.1;28461.628574285714;27870.87333733333;3363.556874770149;0.1882267098432442;0.9821256058680006;0.3697245428906731;0.9291414114031743;0;0;0;0;1;0;0;0;0;0
2022-04-13 23:18:15.225659;138;25557.4;361;2022;4;2;34220.5;25132.5;28098.9;27299.8;30593.2;28522.328574285715;27812.79333733333;3296.633237523125;0.2051044998686192;0.9787400799669153;0.401487989205973;0.9158642882672872;0;0;0;0;0;1;0;0;0;0
2022-04-14 23:18:15.225659;122;20197.0;284;2022;4;3;25557.4;28138.2;33357.3;23454.40001;26522.2;27387.871431428568;27704.213337;4570.946916154816;0.2219215130041655;0.9750645322571948;0.4327755925504312;0.901501684131884;0;0;0;0;0;0;1;0;0;0
2022-04-15 23:18:15.225659;126;22692.2;303;2022;4;4;20197.0;24898.4;28057.50002;26349.4;28451.9;27072.700002857146;27582.30667033333;4839.384692984437;0.2386727660059501;0.9711000518829505;0.4635502709028509;0.886070621534138;0;0;0;0;0;0;0;1;0;0
2022-04-16 23:18:15.225659;148;28471.6;375;2022;4;5;22692.2;27076.50002;24336.3;26115.2;25419.0;27272.0;27660.853337;4868.20857845403;0.255353295116187;0.9668478136052775;0.49377555015997715;0.869589389346611;0;0;0;0;0;0;0;0;1;0
2022-04-17 23:18:15.225659;138;27617.7;355;2022;4;6;28471.6;28321.4;26722.3;27932.10003;26302.7;27171.471428571425;27650.373336;4850.159013789928;0.2719581575341055;0.9623090774541486;0.5234156073655503;0.8520775211013093;0;0;0;0;0;0;0;0;0;1
2022-04-18 23:18:15.225659;153;31318.2;401;2022;4;0;27617.7;31443.9;28443.6;27558.2;28685.6;27153.51428571429;27775.706669333333;4831.9028254676205;0.288482432880609;0.9574851883550393;0.5524353131676196;0.8335557718385699;0;0;0;1;0;0;0;0;0;0
2022-04-19 23:18:15.225659;140;29704.2;352;2022;4;1;31318.2;34220.5;24809.4;28222.0;32724.30001;26508.32857142857;27825.113336;3952.500638293982;0.30492122465628907;0.9523775757303974;0.5808002734538009;0.8140460935082178;0;0;0;0;1;0;0;0;0;0
2022-04-20 23:18:15.225659;138;26488.3;324;2022;4;2;29704.2;25557.4;25132.5;23998.4;23743.8;26641.31428571429;27908.110002666668;3930.774041003709;0.3212696616923644;0.9469877530760753;0.6084768701151261;0.7935716089521474;0;0;0;0;0;1;0;0;0;0
2022-04-21 23:18:15.225659;137;29254.6;358;2022;4;3;26488.3;20197.0;28138.2;28675.2;32416.3;27935.257142857143;27927.423336;2777.467856313957;0.3375228995941133;0.9413173175128471;0.6354323008901774;0.7721565844991642;0;0;0;0;0;0;1;0;0;0
2022-04-22 23:18:15.225659;157;29620.50003;373;2022;4;4;29254.6;22692.2;24898.4;28158.4;26169.90001;28925.01429;27976.160003666664;1569.449323292593;0.3536761221763716;0.9353679493131483;0.6616346182422783;0.7498264012045686;0;0;0;0;0;0;0;1;0;0
2022-04-23 23:18:15.225659;128;26398.4;349;2022;4;5;29620.50003;28471.6;27076.50002;28263.10001;28156.5;28628.84286142857;27914.00333666667;1841.340078884719;0.3697245428906731;0.9291414114031743;0.6870527672236669;0.7266075247685656;0;0;0;0;0;0;0;0;1;0
2022-04-24 23:18:15.225659;124;26130.1;315;2022;4;6;26398.4;27617.7;28321.4;31062.20001;28402.1;28416.328575714288;27749.600003;2051.3560338849347;0.38566340624360707;0.9226395488404876;0.7116566222817746;0.7025274741691571;0;0;0;0;0;0;0;0;0;1
2022-04-25 23:18:15.225659;146;31027.9;356;2022;4;0;26130.1;31318.2;31443.9;28944.3;29426.8;28374.85714714285;27819.05333633333;1984.766058921563;0.401487989205973;0.9158642882672872;0.7354170229639855;0.6776147890466889;0;0;0;1;0;0;0;0;0;0
2022-04-26 23:18:15.225659;122;21210.20001;302;2022;4;1;31027.9;29704.2;34220.5;26236.7;26374.3;27161.42857714285;27651.503336666665;3237.6451077598026;0.4171936026123168;0.9088176373395029;0.7583058084785624;0.6518989958787126;0;0;0;0;1;0;0;0;0;0
